Topic,Count,Name,Representation,Representative_Docs
18,86,18_liquid_water_rocket_glass,"['liquid', 'water', 'rocket', 'glass', 'metal', 'light', 'experiment', 'solid', 'properties', 'effects']","[""What is solid state 'liquid metal'? What is solid state 'liquid metal'? Explaining the solid-state 'liquid metal' cooling system in the RedMagic 10 Pro, highlighting its unique properties and functionality."", 'Its like Liquid Nitrogen - but Fire! Its like Liquid Nitrogen - but Fire! Demonstrating experiments that involve fire and its unique properties, including comparisons to liquid nitrogen. Raising awareness about the care and survival of giant air plants, specifically Tillandsia utriculata.', 'Incandescent Bulb Filament In Liquid Nitrogen Incandescent Bulb Filament In Liquid Nitrogen Testing the ability of an incandescent bulb filament to light up when submerged in liquid nitrogen.']"
19,83,19_ai_learning_tools_advancements,"['ai', 'learning', 'tools', 'advancements', 'machine', 'play', 'week', 'video', 'implications', 'tool']","[""The AI News You Missed - A Crazy Week For AI Art! The AI News You Missed - A Crazy Week For AI Art! Highlighting recent advancements in AI art, including MidJourney's new inpainting feature, updates from Ideogram AI and Leonardo, and Microsoft's integration of AI capabilities into Paint. Discussing the implications of AI-generated art not being copyrightable and various AI developments in healthcare and music identification."", 'Myths and Facts About Superintelligent AI Myths and Facts About Superintelligent AI Explaining the myths and facts about superintelligent AI, including its potential impact on jobs and civilization. Discussing whether AI will evolve into tools similar to traditional computers or lead to a machine takeover.', ""AI News: Uncensored AI Will Create ANYTHING! AI News: Uncensored AI Will Create ANYTHING! Exploring the release of Grok, an uncensored AI capable of generating a wide range of content, and discussing updates on various AI tools and technologies, including Google's new AI features in their Pixel devices and advancements in AI image generation. Highlighting the implications of recent AI-related lawsuits and developments in the gaming industry.""]"
20,79,20_growing_plant_garden_grow,"['growing', 'plant', 'garden', 'grow', 'care', 'starting', 'guide', 'mistakes', 'fall', 'tips']","[""9 Crops You'd be Foolish Not to Plant in March! 9 Crops You'd be Foolish Not to Plant in March! Highlighting nine crops ideal for planting in March, including potatoes, brassicas, marigolds, sunflowers, and various beans and carrots, to optimize the growing season. Each crop is discussed in terms of its benefits and growing tips."", 'This Plant Does EVERYTHING | Borage Growing Guide This Plant Does EVERYTHING | Borage Growing Guide Growing borage, an easy and beneficial garden plant, involves learning about its history, benefits, varieties, companion planting techniques, and propagation methods. The plant is fully edible, self-sows readily, and attracts bees with its beautiful flowers.', ""Sweet Alyssum: The Companion Plant You're Probably Not Growing Sweet Alyssum: The Companion Plant You're Probably Not Growing Exploring the benefits of growing alyssum as a companion plant in edible gardens, including its various types, care requirements, and its role in attracting beneficial insects. Highlighting fun facts about alyssum and its advantages in companion planting.""]"
21,71,21_minecraft_gameplay_things_game,"['minecraft', 'gameplay', 'things', 'game', 'mechanics', '25', 'players', 'elements', 'features', 'showcasing various']","['The Unluckiest Search for the Elytra in Minecraft (#8) The Unluckiest Search for the Elytra in Minecraft (#8) Attempting to obtain the Elytra in Minecraft while pursuing every advancement within a 31-day challenge. Showcasing the challenges and experiences encountered during the search for this elusive item.', 'One Fact About All 79 Minecraft Mobs One Fact About All 79 Minecraft Mobs Exploring unique facts about each of the 79 mobs in Minecraft 1.19, highlighting their characteristics and behaviors.', '153 Confusing Minecraft Things 153 Confusing Minecraft Things Exploring 153 confusing elements in Minecraft, showcasing various mechanics, tricks, and features that may perplex players. Highlighting unique gameplay aspects and modifications that enhance the Minecraft experience.']"
22,71,22_lego_wars_set_star,"['lego', 'wars', 'set', 'star', 'pieces', 'review', 'largest', 'tutorial', 'reviewing', 'building']","[""what LEGO set's in the jar? #lego #legos #legoaddict #afol #legomoc #toys #legobuild #legolife what LEGO set's in the jar? #lego #legos #legoaddict #afol #legomoc #toys #legobuild #legolife Identifying LEGO sets contained in a jar by examining the pieces and providing insights into their origins."", 'How to ID LEGO Bricks #lego #legos #legostarwars #bricklink #legotips #legomoc #starwars How to ID LEGO Bricks #lego #legos #legostarwars #bricklink #legotips #legomoc #starwars Identifying LEGO sets using only a few pieces. Demonstrating techniques to match bricks and sets effectively.', 'who throws away LEGO? #lego #legos #legoaddict #afol #legomoc #toys #legobuild #legolife #legofan who throws away LEGO? #lego #legos #legoaddict #afol #legomoc #toys #legobuild #legolife #legofan Rescuing a discarded LEGO set and exploring its identity.']"
23,70,23_questions_episode_daily_20,"['questions', 'episode', 'daily', '20', 'nature', 'addressing', 'implications', 'crash course', 'life', 'crash']","['20 Questions with Pastor Mike (Episode 28) 20 Questions with Pastor Mike (Episode 28) Addressing questions about salvation, the nature of sin, and biblical interpretations, the discussion explores theological concepts such as the implications of Jesus ""becoming sin,"" the meaning of ""impure"" in Ephesians, and the role of Christians in government. Additionally, it examines modern idolatry, biblical perspectives on self-love, and the complexities of relationships with atheistic family members.', ""10 Questions with Mike Winger (Episode 22) 10 Questions with Mike Winger (Episode 22) Addressing various theological questions, the discussion explores topics such as the existence of the Bible, the nature of Jesus' deity, the relationship between faith and works for salvation, and interpretations of sin and natural disasters. It also examines the implications of doctrines like Modalism and the timing of receiving the Holy Spirit in a Christian's life."", '20 Questions with Pastor Mike (Episode 46) 20 Questions with Pastor Mike (Episode 46) Addressing various theological questions, this session explores topics such as the significance of Paul in the New Testament, the nature of God, the concept of eternal souls, and the implications of sin and forgiveness. Additionally, it discusses the role of natural revelation in salvation and offers guidance for new believers on baptism and depicting God.']"
24,69,24_chess_strategies_game_key,"['chess', 'strategies', 'game', 'key', 'gameplay', 'decision', 'highlighting key', 'moments', 'play', 'beat']","[""Martin's Wife is a Chess Goddess Martin's Wife is a Chess Goddess Showcasing the chess skills of Martin's wife, highlighting her strategic gameplay and techniques. Engaging in a family chess match that emphasizes tactics and decision-making in the game."", 'CHESS 3.0! CHESS 3.0! Exploring advanced chess strategies and tactics, focusing on enhancing gameplay and decision-making skills. Analyzing key positions and moves to improve overall chess performance.', 'Chess GOAT is back. Chess GOAT is back. Analyzing chess strategies and gameplay, highlighting key moves and tactics used by top players. Exploring the nuances of chess to enhance understanding and improve skills.']"
25,67,25_costco_deals_10 things_products,"['costco', 'deals', '10 things', 'products', '10', 'shopping', 'buying', 'things', 'items', 'amazon']","['10 Things You SHOULD Be Buying at Costco in August 2023 10 Things You SHOULD Be Buying at Costco in August 2023 Highlighting essential products to purchase at Costco in August 2023, this content showcases top items and offers tips and hacks for maximizing your shopping experience. It emphasizes discovering new deals and making the most of your Costco visits.', '10 Things You SHOULD Be Buying at Costco in March 2023 10 Things You SHOULD Be Buying at Costco in March 2023 Identifying top products to purchase at Costco for March 2023, highlighting essential items and shopping tips to enhance the shopping experience. Showcasing new deals and recommendations for maximizing value during visits to Costco locations in the US, Canada, and Australia.', '10 Things You SHOULD Be Buying at Costco in June 2023 10 Things You SHOULD Be Buying at Costco in June 2023 Highlighting essential products to purchase at Costco in June 2023, this guide showcases top items and offers tips and hacks for maximizing your shopping experience. Discover the best deals and new arrivals available at Costco locations in the US, Canada, and Australia.']"
26,58,26_vfx_cgi_artists_react,"['vfx', 'cgi', 'artists', 'react', 'effects', 'visual', 'great', 'bad', 'film', 'effect']","['VFX Artists React to Bad & Great CGi 59 VFX Artists React to Bad & Great CGi 59 Analyzing visual effects in holiday films, highlighting both exceptional and poor CGI examples. Discussing the impact of these effects on the overall viewing experience.', 'VFX Artists React to Bad & Great CGi 49 VFX Artists React to Bad & Great CGi 49 Analyzing and critiquing the visual effects in popular Hollywood movies, highlighting both exceptional and poor examples of CGI. Discussing the techniques and artistry behind the best and worst visual effects in film.', ""VFX Artists React to Bad & Great CGi 70 VFX Artists React to Bad & Great CGi 70 Breaking down the CGI in Marvel's Shang-Chi, Wren, Niko, and VFX Veteran Sean Walker analyze both the strengths and weaknesses of the visual effects used in the film.""]"
27,57,27_photoshop_color_hair_image,"['photoshop', 'color', 'hair', 'image', 'tutorial', 'editing', 'ai', 'white', 'save', 'software']","['Make Anything ISOMETRIC with Actions in Photoshop Make Anything ISOMETRIC with Actions in Photoshop Creating isometric designs in Adobe Photoshop using a simple action to transform any object into an isometric perspective.', 'How To Photoshop Stunning Backgrounds In Seconds! How To Photoshop Stunning Backgrounds In Seconds! Creating stunning background designs in Photoshop quickly and efficiently.', 'Extract Depth Map from Mobile Photos for Photoshop! Extract Depth Map from Mobile Photos for Photoshop! Extract depth maps from portrait mode photos on mobile devices and utilize them in Photoshop to manipulate background blur, adjust focus points, and apply color grading based on depth.']"
28,52,28_slow_slow mo_mo_mo guys,"['slow', 'slow mo', 'mo', 'mo guys', 'guys', 'slow motion', 'motion', 'effects', 'second', 'capturing']","['Sledgehammer vs Clock in Slow Motion - The Slow Mo Guys Sledgehammer vs Clock in Slow Motion - The Slow Mo Guys Demonstrating the impact of a sledgehammer on a clock, capturing the destruction in slow motion at 2500fps. Showcasing the dramatic effects of the collision while highlighting the challenges of swinging a sledgehammer accurately.', 'Fire Tennis - The Slow Mo Guys Fire Tennis - The Slow Mo Guys Creating a unique version of tennis using fire, captured at 2500 frames per second for dramatic slow-motion effects.', 'Slow Motion Vomit - The Slow Mo Guys Slow Motion Vomit - The Slow Mo Guys Capturing vomit in slow motion at 1600 frames per second to analyze the dynamics and visual effects of the act.']"
29,51,29_eye_dry_vision_doctor,"['eye', 'dry', 'vision', 'doctor', 'natural', 'health', 'lenses', 'does', 'light', 'tips']","['What is LAZY EYE (Amblyopia) and What Causes It What is LAZY EYE (Amblyopia) and What Causes It Explaining lazy eye (amblyopia) and its causes, including factors like strabismus and refractive issues. Discussing potential treatments and the importance of early detection for improving vision.', 'What Causes Dry Eyes? Eye Doctor Explains Dry Eye Syndrome What Causes Dry Eyes? Eye Doctor Explains Dry Eye Syndrome Explaining the causes of dry eye syndrome, highlighting the major types and contributing factors that lead to the development of dry eyes. Discussing the complexities of chronic dryness and its potential consequences, such as eye pain and blurred vision.', 'Eye Floaters CURE? - Atropine Eye Drops for Eye Floaters Explained Eye Floaters CURE? - Atropine Eye Drops for Eye Floaters Explained Explaining the use of Atropine eye drops as a potential treatment for eye floaters, highlighting how low-dose atropine may help alleviate symptoms for those who find floaters bothersome. Discussing traditional treatment options and the importance of consulting an eye doctor for sudden vision changes.']"
