Topic,Count,Name,Representation,Representative_Docs
11,175,11_slow motion_effects_slow_motion,"['slow motion', 'effects', 'slow', 'motion', 'water', '000', 'demonstrating', 'ice', 'demonstrating effects', '60']","['Recreating a high-speed shot of a bullet versus an eyeball at 200,000 frames per second, showcasing the dramatic effects of impact in slow motion.', 'Demonstrating the effects of a 60,000 PSI waterjet cutter on a skateboard wheel, the process reveals the dramatic explosion of the wheel at 45,000 RPM in slow motion, showcasing the intricate details and potential hazards of such high-speed failures.', 'Demonstrating the effects of a suppressor in super slow motion, capturing the intricate details of sound waves and gas expansion at 110,000 frames per second. Analyzing the physics behind sound suppression and the behavior of bullets as they exit the suppressor.']"
12,149,12_house_design_home_space,"['house', 'design', 'home', 'space', 'installing', 'tiny', 'living', 'elements', 'building', 'construction']","[""Building a luxurious concrete and steel house, showcasing innovative residential construction techniques. The project highlights the impressive design and structural elements that contribute to the home's aesthetic and durability."", 'Transforming a garage into a functional and aesthetically pleasing tiny house, showcasing practical design ideas for those interested in the tiny house movement or Airbnb hosting. The process highlights creative use of space and design elements to maximize livability.', 'Transforming a house into a modern minimalist tiny home, showcasing design techniques and space optimization strategies for Airbnb hosting. Highlighting the process of creating a functional and aesthetically pleasing living space within a compact footprint.']"
13,140,13_3d_printing_printer_3d printing,"['3d', 'printing', 'printer', '3d printing', 'print', 'printed', '3d printed', 'demonstrating', 'process', 'resin']","['Exploring the features of the Bambu Lab A1 3D printer, including full-auto calibration, multi-color printing, and active flow rate compensation. Demonstrating its user-friendly capabilities and performance for beginners in 3D printing.', ""Creating a 3D printed model of Wolverine's claw by utilizing a CT scan and printing the entire design in one go using a Prusa3D XL printer with Protopasta filaments."", 'Exploring the capabilities of the EPAX X10 Resin 3D Printer, showcasing various 3D printed models including detailed miniatures and props from popular games. Demonstrating the printing process and discussing the features that make this printer stand out in the midsized category.']"
14,129,14_camera_photography_lens_lenses,"['camera', 'photography', 'lens', 'lenses', 'cameras', 'gear', 'quality', 'video', 'accessories', 'features']","['Exploring photography gear and techniques, including the essential items in a camera bag and recommendations for lenses, filters, and accessories for various shooting scenarios. Showcasing the importance of specific equipment for enhancing outdoor photography and capturing high-quality images.', 'Showcasing essential camera gear and equipment for photography and videography, including lenses, microphones, and accessories. Highlighting the importance of specific tools for outdoor shooting and capturing high-quality content.', 'Exploring camera gear and equipment, including a detailed overview of the 2023 updated camera bag, favorite lenses, and essential accessories for photography and videography. Highlighting the importance of specific tools like VND filters for outdoor shooting and various types of cameras used for different shooting scenarios.']"
15,126,15_effects_visual_visual effects_film,"['effects', 'visual', 'visual effects', 'film', 'animation', 'video', 'techniques', 'storytelling', 'scenes', 'editing']","['Breaking down visual effects by analyzing both exceptional and poor CGI in popular Hollywood films.', 'Analyzing and critiquing the visual effects in popular Hollywood movies, highlighting both exceptional and poor examples of CGI. Discussing the techniques and artistry behind the best and worst visual effects in film.', 'Analyzing visual effects in holiday films, highlighting both exceptional and poor CGI examples. Discussing the impact of these effects on the overall viewing experience.']"
16,118,16_foam_process_using_creating,"['foam', 'process', 'using', 'creating', '3d', 'process includes', 'techniques', 'includes', 'materials', 'crafting']","['Building the Body Unit from an RX-78-2 Gundam using HD foam, vinyl, spray paint, and various crafting supplies to create a wearable cosplay piece. The process includes cutting, assembling, and detailing techniques to achieve the desired look.', 'Building a Winter Soldier mask from EVA foam by cutting raw foam pieces and applying final paint finishes. The process includes using specific materials like HD foam, elastic straps, and craft paints to create an accurate replica.', 'Creating a Heavy Infantry helmet inspired by The Mandalorian using HD foam and various crafting materials. The process includes cutting, assembling, and painting techniques to achieve the desired look.']"
17,104,17_lego_set_pieces_building,"['lego', 'set', 'pieces', 'building', 'engineering', 'reviewing', 'design', 'star', 'using', 'features']","['Building a LEGO Black Van using your own LEGO pieces.', 'Building LEGO Among Us characters using various LEGO pieces.', 'Building LEGO TV stands using various LEGO pieces.']"
18,88,18_audio_sound quality_sound_quality,"['audio', 'sound quality', 'sound', 'quality', 'performance', 'features', 'comparing', 'evaluating', 'models', 'features performance']","['Exploring the use of consistent audio cables to enhance sound quality, highlighting specific brands and their benefits for maintaining audio integrity.', 'Exploring high-resolution audio options, the content compares the Campfire Audio Axion with other in-ear monitors, highlighting features like USB-C connectivity and bit-perfect sound quality. Side-by-side comparisons demonstrate the differences in audio performance between various models.', 'Building a high-quality audio setup featuring Schiit amplifiers and Klipsch speakers, showcasing their performance and compatibility with various audio components. Demonstrating the use of speaker stands and digital-to-analog converters to enhance sound quality.']"
19,83,19_growing_garden_care_selecting,"['growing', 'garden', 'care', 'selecting', 'successful', 'starting', 'growth', 'carbon', 'tree', 'tips']","['Growing essential crops such as Cherokee Purple tomatoes, Dazzling Blue kale, garlic, and various peppers for reliable and abundant produce in your garden. Highlighting the importance of cultivating these plants annually for optimal yields.', 'Starting seeds from scratch by selecting appropriate seeds, preparing soil, and planting them, while also demonstrating the current state of an established garden and the care needed for growing various plants.', 'Highlighting nine crops ideal for planting in March, including potatoes, brassicas, marigolds, sunflowers, and various beans and carrots, to optimize the growing season. Each crop is discussed in terms of its benefits and growing tips.']"
20,74,20_provided_content provided_provide_outcomes,"['provided', 'content provided', 'provide', 'outcomes', 'related', 'techniques', 'demonstrated', '', '', '']","['No specific content is provided in the description to summarize.', 'No content is provided to summarize.', 'No specific content is provided in the description to summarize.']"
21,72,21_players_history_career_contributions,"['players', 'history', 'career', 'contributions', 'impact', 'examining', 'season', 'analyzing', 'team', 'success']","['Ranking every MVP runner-up since 2000, highlighting key performances and statistics of notable players such as Carlos Delgado, Derek Jeter, and Juan Soto. Analyzing their contributions and impact on the game during their respective seasons.', 'Highlighting the ten oldest players in NBA history, showcasing their careers and contributions to the sport.', 'Exploring the rise and fall of Dwight Howard, highlighting his impact as one of the best defensive players and centers in NBA history, while examining the drama and decisions that affected his career trajectory.']"
22,70,22_daily_life_nature_encouraging,"['daily', 'life', 'nature', 'encouraging', 'implications', 'questions', 'addressing', 'examines', 'practices', 'examining']","['Strengthening prayer life and daily walk with God through motivational content and biblical teachings. Encouraging personal reflection and inspiration in faith-based practices.', 'Strengthening prayer life and daily spiritual walk through motivational messages and biblical teachings. Encouraging personal reflection and inspiration to deepen faith.', ""Addressing various theological questions, the discussion explores topics such as the existence of the Bible, the nature of Jesus' deity, the relationship between faith and works for salvation, and interpretations of sin and natural disasters. It also examines the implications of doctrines like Modalism and the timing of receiving the Holy Spirit in a Christian's life.""]"
23,69,23_ai_advancements_developments_technology,"['ai', 'advancements', 'developments', 'technology', 'tools', 'like', 'implications', 'model', 'machine', 'integration']","[""Summarizing the latest advancements in AI, including the introduction of MusicGen for music generation, new AI features in Adobe Express and Illustrator, and Google's virtual try-on technology. Highlighting partnerships like AMD with Hugging Face and updates from OpenAI, as well as developments in human-like AI from Meta and ElevenLabs' speech classification."", ""Highlighting advancements in AI, the content covers developments such as AlphaFold 3, Microsoft's MAI-1 language model, and various AI tools like Krea and Udio's audio inpainting feature. It also discusses the implications of these technologies and upcoming AI events."", ""Exploring the release of Grok, an uncensored AI capable of generating a wide range of content, and discussing updates on various AI tools and technologies, including Google's new AI features in their Pixel devices and advancements in AI image generation. Highlighting the implications of recent AI-related lawsuits and developments in the gaming industry.""]"
24,69,24_chess_tactics_match_game,"['chess', 'tactics', 'match', 'game', 'strategies', 'analyzing', 'key', 'gameplay', 'decision making', 'decision']","[""Showcasing the chess skills of Martin's wife, highlighting her strategic gameplay and techniques. Engaging in a family chess match that emphasizes tactics and decision-making in the game."", 'Analyzing chess strategies and gameplay, highlighting key moves and tactics used by top players. Exploring the nuances of chess to enhance understanding and improve skills.', 'Exploring advanced chess strategies and tactics, focusing on enhancing gameplay and decision-making skills. Analyzing key positions and moves to improve overall chess performance.']"
25,64,25_minecraft_game_gameplay_mechanics,"['minecraft', 'game', 'gameplay', 'mechanics', 'players', 'elements', 'unique', 'creative', 'features', 'enhance']","['Exploring rare occurrences and unique seeds in Minecraft, including heart-shaped biomes, unusual mushroom fields, and the rarest mobs found in both Java and Bedrock editions. Highlighting the most elusive and hard-to-find elements within the game.', 'Exploring various creative and unique activities within Minecraft, showcasing 107 different things players can do in the game. Demonstrating innovative building techniques, gameplay mechanics, and fun challenges that enhance the Minecraft experience.', 'Exploring new features in the Minecraft Movie DLC, showcasing unique elements and secrets revealed in the latest update. Highlighting gameplay mechanics and content that enhance the Minecraft experience.']"
26,54,26_pokémon_cards_card_opening,"['pokémon', 'cards', 'card', 'opening', 'collection', 'game', 'challenge', 'excitement', 'engaging', 'products']","[""Exploring a unique Pokémon card and discussing its unusual features and significance in the collection. Highlighting the card's rarity and what makes it stand out among other Pokémon cards."", 'Opening a large number of Pokémon card booster packs and giving away various Pokémon cards, including graded ones. Engaging with the audience through live interactions and showcasing the excitement of unboxing.', 'Opening numerous Pokémon Card booster packs and giving away various Pokémon cards, including graded ones, while randomly selecting winners during the live stream.']"
