COMPLETE 3-TIER TOPIC HIERARCHY - ALL 1,084 TOPICS
====================================================================================================

TIER 1: DOMAINS (Top 30 largest topics)
----------------------------------------------------------------------------------------------------
Rank  ID     Topic Name                                    Videos   Category                  Subcategory         
192   191    Cement Pots                                   190      Entertainment             General             
193   192    Sneaking Wherever                             188      Geography & Culture       Places to Live      
194   193    Automotive & Car Repair                       188      Beauty & Fashion          Beauty              
195   194    Webull Dividend                               188      Entertainment             General             
196   195    Cities City                                   186      Geography & Culture       Places to Live      
197   196    News                                          186      News & Politics           Current Events      
198   197    Meditation & Mindfulness                      186      Health & Fitness          Mental Health       
199   198    Boeing                                        186      Entertainment             General             
200   199    Raspberry                                     184      Entertainment             General             
201   200    Timelapse Sean                                183      Content Creation          Vlogging            
202   201    Downfall Rappers                              183      Entertainment             General             
203   202    Gopro Hero                                    182      Entertainment             General             
204   203    Woodworking Projects                          180      DIY & Crafts              Woodworking         
205   204    Desk Standing                                 180      Technology                General Tech        
206   205    Language Learning                             180      Education                 Languages           
207   206    Lamp Led                                      180      Home & Garden             Home Improvement    
208   207    Airlines Class                                179      Entertainment             General             
209   208    Haul Outfit                                   178      Beauty & Fashion          Beauty              
210   209    Shed Roof                                     177      Entertainment             General             
211   210    Popular Truth                                 177      Entertainment             General             
212   211    Drucker                                       177      Entertainment             General             
213   212    Camper                                        177      Entertainment             General             
214   213    Cooking & Recipes                             177      Entertainment             Challenges          
215   214    Automotive & Car Repair                       177      Automotive                Car Maintenance     
216   215    JavaScript Vfx Development                    176      Programming               JavaScript          
217   216    Rich Finances                                 176      Entertainment             General             
218   217    Welding Metalworking                          175      Pets & Animals            Pet Care            
219   218    Automotive & Car Repair                       175      Pets & Animals            Pet Care            
220   219    Workout Routines                              175      Sports & Fitness          Athletics           
221   220    Tutorial                                      174      Education                 Tutorials           
222   221    Vergecast Alexa                               173      Entertainment             General             
223   222    Aikido Mma                                    172      Travel & Adventure        Travel              
224   223    Animals Mayahiga                              172      Content Creation          Vlogging            
225   224    Hotmakes Episode                              171      Entertainment             Comedy              
226   225    Microphone Mic                                170      Entertainment             General             
227   226    500000 100000                                 170      Entertainment             General             
228   227    Clamps Clamp                                  170      Home & Garden             Home Improvement    
229   228    Infrastructure Wind                           168      Entertainment             General             
230   229    Galaxy Samsung                                167      Entertainment             General             
231   230    Sewing & Textiles                             167      Beauty & Fashion          Beauty              
232   231    Bezos Jeff                                    167      Entertainment             General             
233   232    Workout Routines                              166      Sports & Fitness          Athletics           
234   233    JavaScript Chernobyl Development              166      Programming               JavaScript          
235   234    Asking Coachella                              166      Entertainment             General             
236   235    Works Companies                               166      Entertainment             General             
237   236    Automotive & Car Repair                       165      Psychology                Personal Development
238   237    Resolve Davinci                               165      Entertainment             General             
239   238    Automotive & Car Repair                       164      Automotive                Car Maintenance     
240   239    Automotive & Car Repair                       164      Automotive                Car Maintenance     
241   240    Frugal Financial                              162      Geography & Culture       Places to Live      
242   241    Forged Forge                                  162      Entertainment             General             
243   242    Universal Orlando                             161      Entertainment             General             
244   243    Sony A7Siii                                   160      Entertainment             General             
245   244    Nyc Brandathon                                158      Entertainment             General             
246   245    Hustles Hustle                                158      Entertainment             General             
247   246    Zealand Zealands                              158      Travel & Adventure        Travel              
248   247    Dogs Dog                                      158      Pets & Animals            Pet Care            
249   248    Amateur Epicurious                            158      Entertainment             Challenges          
250   249    Sawmill Log                                   157      Entertainment             General             


TIER 3: SPECIFIC TOPICS (Topics 251-1084)
----------------------------------------------------------------------------------------------------
Rank  ID     Topic Name                                    Videos   Category                  Subcategory         
----------------------------------------------------------------------------------------------------
251   250    Airstream Moth                                157      Travel & Adventure        Travel              
252   251    JavaScript Cartoons Development               156      Pets & Animals            Pet Care            
253   252    Florida Orlando                               156      Home & Garden             Home Improvement    
254   253    Crossfit Games                                156      Sports & Fitness          Athletics           
255   254    Odin Makes                                    156      Entertainment             General             
256   255    Automotive & Car Repair                       156      Travel & Adventure        Travel              
257   256    Impostor                                      155      Entertainment             General             
258   257    Domino Festool                                155      Entertainment             General             
259   258    Cooking & Recipes                             155      Home & Garden             Home Improvement    
260   259    Narcissist Narcissistic                       155      Entertainment             General             
261   260    Giaco Nerf                                    154      Entertainment             General             
262   261    Masayoshi Raze                                154      Entertainment             General             
263   262    Automotive & Car Repair                       154      Automotive                Car Maintenance     
264   263    Glowforge Ending                              153      Entertainment             General             
265   264    Laid Off                                      153      Pets & Animals            Pet Care            
266   265    Subscribers Subscriber                        153      Social Media              Platform Growth     
267   266    Stock Trading & Analysis                      153      Finance                   Trading             
268   267    Architecture Malaysias                        153      Sports & Fitness          Athletics           
269   268    Lightburn Laser                               152      Entertainment             General             
270   269    Automotive & Car Repair                       152      Automotive                Car Maintenance     
271   270    Scooter Furze                                 152      Entertainment             General             
272   271    Toolpost Grinder                              151      Entertainment             General             
273   272    Scale Tamiya                                  150      Entertainment             General             
274   273    Painting Techniques                           149      Creative                  Traditional Art     
275   274    Go Programming                                148      Programming               Go                  
276   275    Bible                                         148      Religion & Spirituality   Faith               
277   276    Drawing & Sketching                           148      Creative                  Traditional Art     
278   277    Mashup Spagnola                               148      Geography & Culture       Places to Live      
279   278    Vlog Vlogmas                                  148      Content Creation          Vlogging            
280   279    Photography                                   147      Geography & Culture       Places to Live      
281   280    Helmet Mask                                   147      Entertainment             General             
282   281    Woodworking Projects                          145      DIY & Crafts              Woodworking         
283   282    Youtube Much                                  145      Social Media              Platform Growth     
284   283    Dipit Dip                                     144      Entertainment             General             
285   284    Cooking & Recipes                             144      Food & Cooking            Recipes             
286   285    Morning Tww                                   144      Entertainment             Comedy              
287   286    Workout Routines                              143      Sports & Fitness          Athletics           
288   287    Automotive & Car Repair                       143      Automotive                Car Maintenance     
289   288    Budgeting Poor                                142      Entertainment             General             
290   289    Automotive & Car Repair                       142      Automotive                Car Maintenance     
291   290    Crafting Projects                             142      Psychology                Personal Development
292   291    Gadzhi Iman                                   142      Pets & Animals            Pet Care            
293   292    Leatherworking                                142      DIY & Crafts              Leathercraft        
294   293    Magic Street                                  141      Entertainment             General             
295   294    Debunk Ufo                                    141      Entertainment             General             
296   295    House Tiny                                    140      Home & Garden             Home Improvement    
297   296    Automotive & Car Repair                       140      Psychology                Personal Development
298   297    Automotive & Car Repair                       140      Automotive                Car Maintenance     
299   298    Grey Electoral                                140      Sports & Fitness          Athletics           
300   299    Canon Nikon                                   139      Content Creation          Vlogging            
301   300    Casting Bronze                                139      Entertainment             General             
302   301    Bag Camera                                    139      Travel & Adventure        Travel              
303   302    Liver Healthiest                              138      Geography & Culture       Places to Live      
304   303    Automotive & Car Repair                       137      Pets & Animals            Pet Care            
305   304    Woodworking Projects                          137      Home & Garden             Home Improvement    
306   305    Prayers Motivational                          135      Religion & Spirituality   Faith               
307   306    Apple Watch                                   134      Pets & Animals            Pet Care            
308   307    Smartphone Phone                              133      Entertainment             General             
309   308    Cleaning Motivation                           133      Pets & Animals            Pet Care            
310   309    Seniors Eat                                   133      Entertainment             Challenges          
311   310    Manali Trails                                 133      Entertainment             General             
312   311    Resin Printers                                133      Entertainment             General             
313   312    Chess Elo                                     131      Pets & Animals            Pet Care            
314   313    Rawtalk Jared                                 131      Entertainment             General             
315   314    Workbench Shaker                              130      Psychology                Personal Development
316   315    Gym Equipment                                 129      Sports & Fitness          Athletics           
317   316    Geoguessr Tournament                          128      Entertainment             Challenges          
318   317    Disney Snacks                                 128      Entertainment             General             
319   318    Ranger Ruck                                   128      Military & Defense        Military            
320   319    Fence Gate                                    128      Entertainment             General             
321   320    Green Pointer                                 128      Entertainment             General             
322   321    Epoxy Uncut                                   126      Entertainment             General             
323   322    She Hes                                       126      Entertainment             General             
324   323    ChatGPT & AI Tools                            125      Technology                AI Tools            
325   324    Homesteading Farm                             125      Home & Garden             Home Improvement    
326   325    Automotive & Car Repair                       125      Automotive                Car Maintenance     
327   326    Automotive & Car Repair                       125      Automotive                Car Maintenance     
328   327    Town Ghost                                    124      Entertainment             General             
329   328    Vhs Beta                                      124      Entertainment             General             
330   329    Magnet Magnets                                123      Entertainment             General             
331   330    Wallimann Unsee                               123      Entertainment             General             
332   331    8Bit Networking                               123      Technology                General Tech        
333   332    Rack Rep                                      122      Entertainment             General             
334   333    Photography                                   122      Social Media              Platform Growth     
335   334    Kumafurniture Bed                             122      Beauty & Fashion          Beauty              
336   335    Generator Ecoflow                             122      Entertainment             General             
337   336    Notes Notetaking                              122      Technology                General Tech        
338   337    Automotive & Car Repair                       122      Automotive                Car Maintenance     
339   338    DIY Projects                                  121      Home & Garden             Home Improvement    
340   339    Menards Timely                                121      Entertainment             General             
341   340    Christmas Ornaments                           121      Home & Garden             Home Improvement    
342   341    Tolkien Lordoftherings                        120      Entertainment             General             
343   342    Storytelling Presentation                     120      Entertainment             General             
344   343    Stool Stools                                  120      Entertainment             General             
345   344    Drill Press                                   120      Entertainment             General             
346   345    Mason Dollar                                  120      Entertainment             General             
347   346    Drywall Mud                                   120      Entertainment             General             
348   347    Camera Smartphone                             119      Content Creation          Vlogging            
349   348    Climbing Trad                                 119      Entertainment             General             
350   349    Cooking & Recipes                             119      Entertainment             Challenges          
351   350    Physics Education                             119      Science & Engineering     Applied Science     
352   351    Monitor Oled                                  119      Entertainment             General             
353   352    Drawing & Sketching                           119      Creative                  Traditional Art     
354   353    Zx14R Kawasaki                                119      Pets & Animals            Pet Care            
355   354    Automotive & Car Repair                       118      Automotive                Car Maintenance     
356   355    Football Ronaldo                              118      Sports & Fitness          Athletics           
357   356    Tent Camping                                  116      Entertainment             General             
358   357    Bed Bunk                                      116      Entertainment             General             
359   358    Airpods Homepod                               116      Home & Garden             Home Improvement    
360   359    Distracted Ali                                116      Entertainment             General             
361   360    Sander Sanding                                114      Entertainment             General             
362   361    Jas Wodapalooza                               114      Content Creation          Vlogging            
363   362    Pastor Mike                                   113      Entertainment             General             
364   363    Machines Josephs                              113      Entertainment             General             
365   364    Woodworking Projects                          113      DIY & Crafts              Woodworking         
366   365    Harp Pedal                                    113      Entertainment             General             
367   366    Coronavirus Outbreak                          113      Entertainment             General             
368   367    Pullups Dips                                  113      Entertainment             General             
369   368    Adobe Creative Suite                          113      Creative                  Design Software     
370   369    Procreate Affinity                            112      Entertainment             Challenges          
371   370    Saw Saws                                      112      Travel & Adventure        Travel              
372   371    Jennie Davis                                  112      Entertainment             General             
373   372    Cooking & Recipes                             112      Food & Cooking            Recipes             
374   373    Automotive & Car Repair                       112      Home & Garden             Home Improvement    
375   374    Graphic Portfolios                            112      Entertainment             General             
376   375    Ramit Sethi                                   111      Entertainment             General             
377   376    Sharpening Scraper                            111      Entertainment             General             
378   377    Astronomy Asteroid                            110      Entertainment             General             
379   378    JavaScript P5Js Development                   110      Pets & Animals            Pet Care            
380   379    Valley Silicon                                110      Entertainment             General             
381   380    Traveling Travel                              110      Sports & Fitness          Athletics           
382   381    Class Airways                                 110      Entertainment             General             
383   382    Led Lights                                    110      Entertainment             General             
384   383    Biology Education                             109      Science & Engineering     Applied Science     
385   384    Framebuilding Bicycle                         109      Entertainment             General             
386   385    Mandalorian Mando                             109      Entertainment             General             
387   386    Video Editing                                 109      Content Creation          Vlogging            
388   387    Diaries Clay                                  109      Content Creation          Vlogging            
389   388    Halloween Prop                                108      Entertainment             General             
390   389    Happened Drank                                108      Entertainment             General             
391   390    Yoga Practice & Training                      108      Health & Fitness          Yoga                
392   391    Fruit Trees                                   108      Sports & Fitness          Athletics           
393   392    Automotive & Car Repair                       108      Science & Engineering     Applied Science     
394   393    Stand                                         108      Entertainment             Comedy              
395   394    Throne Nuclear                                108      Entertainment             General             
396   395    Fck Summarized                                108      Entertainment             General             
397   396    Workout Routines                              108      Sports & Fitness          Athletics           
398   397    Laser Cutter                                  108      Entertainment             General             
399   398    Planter Planters                              107      Entertainment             General             
400   399    Nyc Consulting                                107      Content Creation          Vlogging            
401   400    App                                           107      Pets & Animals            Pet Care            
402   401    Snippet Berlin                                107      Pets & Animals            Pet Care            
403   402    Automotive & Car Repair                       107      Automotive                Car Maintenance     
404   403    Laser Cut                                     106      Pets & Animals            Pet Care            
405   404    Stella Transforms                             106      Entertainment             General             
406   405    Sdcc                                          106      Home & Garden             Home Improvement    
407   406    Movie Reviews & Discussion                    106      Entertainment             Movies              
408   407    Guitar Lessons & Performance                  106      Music                     Guitar              
409   408    Vegan & Plant-Based                           105      Food & Cooking            Vegan               
410   409    Email Emails                                  105      News & Politics           Current Events      
411   410    Shower Tub                                    105      Entertainment             Comedy              
412   411    Automotive & Car Repair                       105      Automotive                Car Maintenance     
413   412    Epcot Mickeys                                 105      Entertainment             General             
414   413    Automotive & Car Repair                       105      Automotive                Car Maintenance     
415   414    Laser Engraved                                104      Entertainment             General             
416   415    Seek Hide                                     104      Entertainment             General             
417   416    Security Social                               104      Geography & Culture       Places to Live      
418   417    Tier                                          103      Pets & Animals            Pet Care            
419   418    Cooking & Recipes                             103      Home & Garden             Home Improvement    
420   419    Truck Trucking                                103      Entertainment             General             
421   420    Automotive & Car Repair                       102      Automotive                Car Maintenance     
422   421    Cryptocurrency & Blockchain                   102      Finance                   Crypto              
423   422    Insta360                                      102      Content Creation          Vlogging            
424   423    Cooking & Recipes                             101      Parenting & Family        Family Life         
425   424    Mirrorless Camera                             101      Content Creation          Vlogging            
426   425    Heater Thermostat                             101      Entertainment             General             
427   426    Bowl Oak                                      100      Entertainment             General             
428   427    Srl Episode                                   100      News & Politics           Current Events      
429   428    Basement Renovation                           100      Psychology                Personal Development
430   429    Getdigital Wootbox                            99       Entertainment             General             
431   430    Bulking Skinny                                99       Entertainment             General             
432   431    Sigma                                         99       Entertainment             General             
433   432    Football Oklahoma                             99       Sports & Fitness          Athletics           
434   433    Door Garage                                   99       Entertainment             General             
435   434    Board Cutting                                 99       Entertainment             General             
436   435    Tesla & Electric Vehicles                     99       Automotive                Electric Cars       
437   436    Makeover Decor                                99       Home & Garden             Home Improvement    
438   437    Happy Hour                                    98       Entertainment             General             
439   438    Conversation Interviewed                      98       Social Media              Platform Growth     
440   439    Totalboat Maker                               98       Travel & Adventure        Travel              
441   440    Treadmill Powermax                            98       Sports & Fitness          Athletics           
442   441    Financial Freedom                             98       Entertainment             General             
443   442    Healthy Eat                                   98       Entertainment             General             
444   443    Shelves Floating                              97       Entertainment             General             
445   444    Shapeoko Cnc                                  97       Entertainment             General             
446   445    Livestream Stream                             97       Geography & Culture       Places to Live      
447   446    Painting Techniques                           97       Creative                  Traditional Art     
448   447    Movie Reviews & Discussion                    96       Entertainment             Movies              
449   448    Patterned Plywood                             96       Entertainment             General             
450   449    Trained Celebrity                             95       Entertainment             General             
451   450    Jackman Pallet                                94       Entertainment             General             
452   451    Podcasts & Interviews                         94       Sports & Fitness          Athletics           
453   452    Cooking & Recipes                             93       Social Media              Platform Growth     
454   453    Automotive & Car Repair                       92       Sports & Fitness          Athletics           
455   454    Comedy & Stand-up                             92       Entertainment             Comedy              
456   455    Woodworking Projects                          92       DIY & Crafts              Woodworking         
457   456    Automotive & Car Repair                       92       Automotive                Car Maintenance     
458   457    Tomatoes Tomato                               91       Entertainment             General             
459   458    3Dprinting Profit                             91       Entertainment             General             
460   459    Bmw Lexus                                     91       Pets & Animals            Pet Care            
461   460    Velvet Artworks                               91       Entertainment             General             
462   461    Go Programming                                91       Home & Garden             Home Improvement    
463   462    Grace Teammates                               91       Sports & Fitness          Athletics           
464   463    Decluttering Declutter                        90       Entertainment             General             
465   464    Xtool Engraving                               90       Entertainment             General             
466   465    Won Lol                                       90       Entertainment             General             
467   466    Skateboards Recycled                          90       Sports & Fitness          Athletics           
468   467    Drawing & Sketching                           90       Beauty & Fashion          Beauty              
469   468    Transformation Fit                            89       Entertainment             General             
470   469    Drawing & Sketching                           89       Creative                  Traditional Art     
471   470    Saw Sawstop                                   89       Entertainment             General             
472   471    Stuff Ghia                                    89       Entertainment             General             
473   472    Housing Market                                89       Real Estate               Property            
474   473    Podcasts & Interviews                         89       Social Media              Platform Growth     
475   474    Automotive & Car Repair                       88       Automotive                Car Maintenance     
476   475    Bluetooth Speaker                             88       Entertainment             General             
477   476    Books Read                                    88       Entertainment             General             
478   477    Johnnyharris Featured                         87       Entertainment             General             
479   478    Automotive & Car Repair                       87       Automotive                Car Maintenance     
480   479    Excavator Skid                                87       Entertainment             General             
481   480    Automotive & Car Repair                       87       Automotive                Car Maintenance     
482   481    Tile Shower                                   87       Entertainment             Comedy              
483   482    Sofa Furniture                                87       Beauty & Fashion          Beauty              
484   483    Reno Toddlers                                 87       Entertainment             General             
485   484    Eufymake                                      87       Entertainment             General             
486   485    Scale Wing                                    86       Entertainment             General             
